title,title_href,mc_link,genre,certificate,votes,metascore,directors,stars,runtime,rating,introduction,produce_year
Cabaret,/title/tt0068327/,https://www.metacritic.com/movie/cabaret?ftag=MCD-06-10aaa1c,"Drama,Music,Musical",PG,53222,80.0,PG,124 min,124,7.8,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,1972
The Count of Monte Cristo,/title/tt0245844/,https://www.metacritic.com/movie/the-count-of-monte-cristo?ftag=MCD-06-10aaa1c,"Action,Adventure,Drama",PG-13,135490,61.0,PG-13,131 min,131,7.8,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",2002
What's Eating Gilbert Grape,/title/tt0108550/,https://www.metacritic.com/movie/whats-eating-gilbert-grape?ftag=MCD-06-10aaa1c,Drama,PG-13,230162,73.0,PG-13,118 min,118,7.7,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,1993
Million Dollar Baby,/title/tt0405159/,https://www.metacritic.com/movie/million-dollar-baby?ftag=MCD-06-10aaa1c,"Drama,Sport",PG-13,669714,86.0,PG-13,132 min,132,8.1,A determined woman works with a hardened boxing trainer to become a professional.,2004
Rosemary's Baby,/title/tt0063522/,https://www.metacritic.com/movie/rosemarys-baby?ftag=MCD-06-10aaa1c,"Drama,Horror",Approved,208607,96.0,Approved,137 min,137,8.0,"A young couple trying for a baby move into an aging, ornate apartment building on Central Park West, but find themselves surrounded by peculiar neighbors.",1968
Ben-Hur,/title/tt0052618/,https://www.metacritic.com/movie/ben-hur-1959?ftag=MCD-06-10aaa1c,"Adventure,Drama,History",G,233035,90.0,G,212 min,212,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",1959
Boyhood,/title/tt1065073/,https://www.metacritic.com/movie/boyhood?ftag=MCD-06-10aaa1c,Drama,R,348781,100.0,R,165 min,165,7.9,"The life of Mason, from early childhood to his arrival at college.",2014
Mr. Nobody,/title/tt0485947/,https://www.metacritic.com/movie/mr-nobody?ftag=MCD-06-10aaa1c,"Drama,Fantasy,Romance",R,228382,63.0,R,141 min,141,7.8,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",2009
Blue Velvet,/title/tt0090756/,https://www.metacritic.com/movie/blue-velvet?ftag=MCD-06-10aaa1c,"Crime,Drama,Mystery",R,193122,76.0,R,120 min,120,7.7,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",1986
Doctor Zhivago,/title/tt0059113/,https://www.metacritic.com/movie/doctor-zhivago?ftag=MCD-06-10aaa1c,"Drama,Romance,War",PG-13,74918,69.0,PG-13,197 min,197,8.0,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",1965
Monty Python and the Holy Grail,/title/tt0071853/,https://www.metacritic.com/movie/monty-python-and-the-holy-grail?ftag=MCD-06-10aaa1c,"Adventure,Comedy,Fantasy",PG,527286,91.0,PG,91 min,91,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",1975
In the Heat of the Night,/title/tt0061811/,https://www.metacritic.com/movie/in-the-heat-of-the-night?ftag=MCD-06-10aaa1c,"Drama,Mystery,Thriller",Approved,74121,75.0,Approved,110 min,110,7.9,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.",1967
Edward Scissorhands,/title/tt0099487/,https://www.metacritic.com/movie/edward-scissorhands?ftag=MCD-06-10aaa1c,"Drama,Fantasy,Romance",PG-13,472832,74.0,PG-13,105 min,105,7.9,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",1990
End of Watch,/title/tt1855199/,https://www.metacritic.com/movie/end-of-watch?ftag=MCD-06-10aaa1c,"Action,Adventure,Crime",R,241667,68.0,R,109 min,109,7.6,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",2012
Toy Story 3,/title/tt0435761/,https://www.metacritic.com/movie/toy-story-3?ftag=MCD-06-10aaa1c,"Animation,Adventure,Comedy",G,804728,92.0,G,103 min,103,8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",2010
Dirty Harry,/title/tt0066999/,https://www.metacritic.com/movie/dirty-harry?ftag=MCD-06-10aaa1c,"Action,Crime,Thriller",R,152310,87.0,R,102 min,102,7.7,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",1971
Match Point,/title/tt0416320/,https://www.metacritic.com/movie/match-point?ftag=MCD-06-10aaa1c,"Drama,Romance,Thriller",R,214784,72.0,R,124 min,124,7.6,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",2005
Who Framed Roger Rabbit,/title/tt0096438/,https://www.metacritic.com/movie/who-framed-roger-rabbit?ftag=MCD-06-10aaa1c,"Animation,Adventure,Comedy",PG,195010,83.0,PG,104 min,104,7.7,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,1988
Gone Baby Gone,/title/tt0452623/,https://www.metacritic.com/movie/gone-baby-gone?ftag=MCD-06-10aaa1c,"Crime,Drama,Mystery",R,267268,72.0,R,114 min,114,7.6,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",2007
Apollo 13,/title/tt0112384/,https://www.metacritic.com/movie/apollo-13?ftag=MCD-06-10aaa1c,"Adventure,Drama,History",PG,287009,77.0,PG,140 min,140,7.6,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,1995
Wreck-It Ralph,/title/tt1772341/,https://www.metacritic.com/movie/wreck-it-ralph?ftag=MCD-06-10aaa1c,"Animation,Adventure,Comedy",PG,406772,72.0,PG,101 min,101,7.7,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",2012
Gattaca,/title/tt0119177/,https://www.metacritic.com/movie/gattaca?ftag=MCD-06-10aaa1c,"Drama,Sci-Fi,Thriller",PG-13,295190,64.0,PG-13,106 min,106,7.8,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,1997
The Bourne Supremacy,/title/tt0372183/,https://www.metacritic.com/movie/the-bourne-supremacy?ftag=MCD-06-10aaa1c,"Action,Mystery,Thriller",PG-13,454198,73.0,PG-13,108 min,108,7.7,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",2004
Kill Bill: Vol. 2,/title/tt0378194/,https://www.metacritic.com/movie/kill-bill-vol-2?ftag=MCD-06-10aaa1c,"Action,Crime,Thriller",R,730135,83.0,R,137 min,137,8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",2004
Hunt for the Wilderpeople,/title/tt4698684/,https://www.metacritic.com/movie/hunt-for-the-wilderpeople?ftag=MCD-06-10aaa1c,"Adventure,Comedy,Drama",PG-13,125143,81.0,PG-13,101 min,101,7.9,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,2016
Isle of Dogs,/title/tt5104604/,https://www.metacritic.com/movie/isle-of-dogs?ftag=MCD-06-10aaa1c,"Animation,Adventure,Comedy",PG-13,160472,82.0,PG-13,101 min,101,7.8,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",2018
