title,title_href,mc_link,genre,certificate,votes,metascore,directors,stars,introduction,produce_year,runtime,rating
The Caine Mutiny,/title/tt0046816/,https://www.metacritic.com/movie/the-caine-mutiny?ftag=MCD-06-10aaa1c,"Drama,War",Not Rated,27182,63,Not Rated,124 min,"
When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny.",1954,124,7.7
The Taking of Pelham One Two Three,/title/tt0072251/,https://www.metacritic.com/movie/the-taking-of-pelham-one-two-three?ftag=MCD-06-10aaa1c,"Action,Crime,Thriller",R,29870,68,R,104 min,"
Four armed men hijack a New York City subway car and demand a ransom for the passengers. The city's police are faced with a conundrum: Even if it's paid, how could they get away?",1974,104,7.7
The Experiment,/title/tt0250258/,https://www.metacritic.com/movie/the-experiment?ftag=MCD-06-10aaa1c,"Drama,Thriller",R,93132,,R,120 min,"
For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",2001,120,7.7
Dersu Uzala,/title/tt0071411/,https://www.metacritic.com/movie/the-experiment?ftag=MCD-06-10aaa1c,"Adventure,Biography,Drama",G,27428,,G,142 min,"
The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.",1975,142,8.3
Hera Pheri,/title/tt0242519/,https://www.metacritic.com/movie/the-experiment?ftag=MCD-06-10aaa1c,"Action,Comedy,Crime",Not Rated,64196,,Not Rated,156 min,"
Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",2000,156,8.2
Hiroshima Mon Amour,/title/tt0052893/,https://www.metacritic.com/movie/the-experiment?ftag=MCD-06-10aaa1c,"Drama,Romance",Not Rated,31076,,Not Rated,90 min,"
A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.",1959,90,7.9
The Passion of Joan of Arc,/title/tt0019254/,https://www.metacritic.com/movie/the-experiment?ftag=MCD-06-10aaa1c,"Biography,Drama,History",Passed,52881,,Passed,114 min,"
In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",1928,114,8.1
Kal Ho Naa Ho,/title/tt0347304/,https://www.metacritic.com/movie/kal-ho-naa-ho?ftag=MCD-06-10aaa1c,"Comedy,Drama,Musical",Not Rated,67448,,Not Rated,186 min,"
Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",2003,186,7.9
Departures,/title/tt1069238/,https://www.metacritic.com/movie/departures?ftag=MCD-06-10aaa1c,"Drama,Music",PG-13,51324,68,PG-13,130 min,"
A newly unemployed cellist takes a job preparing the dead for funerals.",2008,130,8.1
In America,/title/tt0298845/,https://www.metacritic.com/movie/in-america?ftag=MCD-06-10aaa1c,Drama,PG-13,42778,76,PG-13,105 min,"
A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.",2002,105,7.7
Badla,/title/tt8130968/,https://www.metacritic.com/movie/in-america?ftag=MCD-06-10aaa1c,"Crime,Drama,Mystery",Not Rated,26692,,Not Rated,118 min,"
A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.",2019,118,7.8
Asuran,/title/tt9477520/,https://www.metacritic.com/movie/in-america?ftag=MCD-06-10aaa1c,"Action,Drama",Not Rated,25332,,Not Rated,141 min,"
The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",2019,141,8.6
Tokyo Godfathers,/title/tt0388473/,https://www.metacritic.com/movie/tokyo-godfathers?ftag=MCD-06-10aaa1c,"Animation,Adventure,Comedy",PG-13,37957,73,PG-13,92 min,"
On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",2003,92,7.8
The Bandit,/title/tt0116231/,https://www.metacritic.com/movie/tokyo-godfathers?ftag=MCD-06-10aaa1c,"Crime,Drama,Thriller",Not Rated,69272,,Not Rated,128 min,"
Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",1996,128,8.2
Down by Law,/title/tt0090967/,https://www.metacritic.com/movie/down-by-law?ftag=MCD-06-10aaa1c,"Comedy,Crime,Drama",R,50734,75,R,107 min,"
Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",1986,107,7.7
The Lunchbox,/title/tt2350496/,https://www.metacritic.com/movie/the-lunchbox?ftag=MCD-06-10aaa1c,"Drama,Romance",PG,54658,76,PG,104 min,"
A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.",2013,104,7.8
Vikram Vedha,/title/tt6148156/,https://www.metacritic.com/movie/the-lunchbox?ftag=MCD-06-10aaa1c,"Action,Crime,Drama",Not Rated,36114,,Not Rated,147 min,"
Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",2017,147,8.3
Crimes and Misdemeanors,/title/tt0097123/,https://www.metacritic.com/movie/crimes-and-misdemeanors?ftag=MCD-06-10aaa1c,"Comedy,Drama",PG-13,57276,77,PG-13,104 min,"
An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.",1989,104,7.9
Drishyam,/title/tt3417422/,https://www.metacritic.com/movie/crimes-and-misdemeanors?ftag=MCD-06-10aaa1c,"Crime,Drama,Thriller",Not Rated,39851,,Not Rated,160 min,"
A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.",2013,160,8.3
Kind Hearts and Coronets,/title/tt0041546/,https://www.metacritic.com/movie/crimes-and-misdemeanors?ftag=MCD-06-10aaa1c,"Comedy,Crime",Not Rated,36704,,Not Rated,106 min,"
A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.",1949,106,8.0
Sweet Smell of Success,/title/tt0051036/,https://www.metacritic.com/movie/sweet-smell-of-success-re-release?ftag=MCD-06-10aaa1c,"Drama,Film-Noir",Approved,30929,100,Approved,96 min,"
Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.",1957,96,8.0
Super 30,/title/tt7485048/,https://www.metacritic.com/movie/sweet-smell-of-success-re-release?ftag=MCD-06-10aaa1c,"Biography,Drama",Not Rated,28822,,Not Rated,154 min,"
Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.",2019,154,8.0
